"Índice","Símbolo","Último","Máximo","Mínimo","Var.","% Var.","Hora"
"IBEX 35","ES35","6.856,65","6.892,65","6.726,50","+275,05","+4,18%","16:45:05"
"I.G. Bolsa Madrid","SMSI","677,19","679,96","666,80","+25,10","+3,85%","16:30:00"
"Dow 30","DJI","22.001,79","22.176,79","21.693,63","+949,26","+4,51%","16:45:05"
"S&P 500","US500","2.603,00","2.616,70","2.574,93","+114,35","+4,59%","16:45:07"
"Nasdaq","IXIC","7.710,92","7.732,97","7.617,79","+337,84","+4,58%","16:45:00"
"Russell 2000","US2000","1.113,30","1.126,90","1.097,05","+72,43","+6,96%","16:45:08"
"S&P 500 VIX","VIX","45,24","45,32","43,65","-1,56","-3,33%","16:44:40"
"S&P/TSX","TSX","13.360,38","13.488,67","13.300,16","+422,08","+3,26%","16:45:00"
"Bovespa","BVSP","74.864,62","75.049,25","69.555,61","+5.327,06","+7,66%","16:30:00"
"S&P Merval","MERV","27.311,41","27.493,22","26.505,41","+806,00","+3,04%","16:25:00"
"COLCAP","COLCAP","1.161,25","1.165,74","1.127,55","+33,70","+2,99%","16:44:00"
"S&P Lima General","SPBLPGPT","13.618,71","13.623,54","13.443,02","+79,92","+0,59%","16:23:00"
"S&P CLX IPSA","SPIPSA","3.756,94","3.815,64","3.674,43","+82,51","+2,25%","16:45:04"
"S&P/BMV IPC","MXX","34.551,85","34.750,17","33.641,07","+1.476,44","+4,46%","16:25:00"
"DAX","DE30","10.035,75","10.093,00","9.837,00","+509,98","+5,35%","16:45:07"
"FTSE 100","UK100","5.553,60","5.591,00","5.486,80","+138,10","+2,55%","16:45:07"
"CAC 40","FCHI","4.337,96","4.349,38","4.268,52","+183,38","+4,41%","16:45:00"
"Euro Stoxx 50","STOXX50","2.791,22","2.804,71","2.717,71","+128,23","+4,82%","16:45:01"
"AEX","AEX","488,33","491,68","482,69","+16,87","+3,58%","16:45:00"
"FTSE MIB","IT40","16.944,00","17.049,00","16.814,00","+559,65","+3,42%","16:45:07"
"SMI","SWI20","9.447,00","9.534,00","9.377,00","+204,56","+2,21%","16:45:07"
"PSI 20","PSI20","4.030,97","4.044,47","3.971,94","+58,27","+1,47%","16:30:00"
"BEL 20","BFX","2.961,60","2.982,20","2.934,20","+104,55","+3,66%","16:44:44"
"ATX","ATX","2.065,33","2.072,83","1.965,68","+100,39","+5,11%","16:29:51"
"OMXS30","OMXS30","1.460,78","1.463,06","1.438,88","+56,19","+4,00%","16:30:00"
"MOEX","IMOEX","2.620,25","2.639,56","2.576,28","+48,02","+1,87%","16:45:11"
"RTSI","IRTS","1.083,41","1.090,81","1.059,31","+33,53","+3,19%","16:45:06"
"WIG20","WIG20","1.580,49","1.585,04","1.534,81","+74,01","+4,91%","16:45:00"
"Budapest SE","BUX","32.265,92","32.702,36","31.973,80","0,00","0,00%","03/04"
"BIST 100","XU100","91.974,51","92.157,54","90.630,58","+2.421,90","+2,70%","16:30:10"
"TA 35","TA35","1.302,93","1.302,93","1.268,29","+60,65","+4,88%","16:24:10"
"Tadawul All Share","TASI","6.860,92","6.860,92","6.731,47","+108,73","+1,61%","12:19:00"
"Nikkei 225","JP225","18.576,30","18.672,26","17.802,62","+756,11","+4,24%","08:00:00"
"S&P/ASX 200","AXJO","5.286,80","5.302,20","5.067,50","+219,30","+4,33%","09:00:36"
"Shanghai","SSEC","2.763,99","2.780,59","2.754,07","-16,65","-0,60%","03/04"
"SZSE Component","SZI","10.110,11","10.212,91","10.069,64","-69,09","-0,68%","03/04"
"China A50","FTXIN9","12.698,12","12.764,65","12.642,01","-66,53","-0,52%","03/04"
"Hang Seng","HK50","23.749,12","23.832,93","23.271,47","+513,01","+2,21%","10:00:01"
"Taiwan Weighted","TWII","9.818,74","9.818,74","9.651,52","+155,11","+1,61%","07:33:00"
"KOSPI","KS11","1.791,88","1.794,19","1.742,67","+66,44","+3,85%","11:03:40"
"IDX Composite","JKSE","4.811,83","4.811,83","4.623,43","+188,40","+4,07%","10:15:00"
"Nifty 50","NSEI","8.083,80","8.356,55","8.055,80","-170,00","-2,06%","03/04"
"BSE Sensex","BSESN","27.590,95","28.639,12","27.500,79","-674,36","-2,39%","03/04"
"HNX 30","HNX30","190,24","190,27","179,87","+10,70","+5,96%","07:00:00"
"CSE All-Share","CSE","4.571,63","4.874,73","4.558,32","-303,10","-6,22%","20/03"
